time,x,y,height
1770963185.5746417,585.8860473632812,126.32921600341797,-156.3861083984375
1770963185.6336048,586.1030883789062,126.51699829101562,-156.64138793945312
1770963185.6905696,586.4585571289062,126.84188079833984,-157.0830535888672
1770963185.750533,586.9430541992188,127.19453430175781,-157.56246948242188
1770963185.8094969,587.1443481445312,127.26236724853516,-157.65469360351562
1770963185.8704593,587.4833984375,127.51992797851562,-158.0048370361328
1770963185.9341686,587.7252197265625,127.66425323486328,-158.20103454589844
1770963186.0000274,587.648193359375,127.54586791992188,-158.04010009765625
1770963186.0585468,587.99072265625,127.7545394897461,-158.3237762451172
1770963186.1175115,588.2562866210938,127.86146545410156,-158.46913146972656
1770963186.1734753,588.5137329101562,128.01425170898438,-158.67684936523438
1770963186.2325644,588.7051391601562,128.17333984375,-158.8931121826172
1770963186.2915268,589.1452026367188,128.48544311523438,-159.31741333007812
1770963186.3504906,589.67138671875,128.83270263671875,-159.78948974609375
1770963186.4070287,590.2584228515625,129.1995086669922,-160.28814697265625
1770963186.4649932,590.3058471679688,129.19778442382812,-160.2858123779297
1770963186.5238383,590.89892578125,129.60110473632812,-160.8341064453125
1770963186.5808053,591.2672729492188,129.8861846923828,-161.22166442871094
1770963186.6387682,591.2977905273438,129.9214324951172,-161.2695770263672
1770963186.6967328,591.6141357421875,130.11651611328125,-160.8550567626953
1770963186.7532403,591.6741943359375,130.1447296142578,-160.89341735839844
1770963186.811205,591.9763793945312,130.36056518554688,-161.18682861328125
1770963186.8691692,592.3070678710938,130.60438537597656,-161.51829528808594
1770963186.9286423,592.5878295898438,130.7807159423828,-160.6079864501953
1770963186.9856074,592.8810424804688,130.95298767089844,-160.84217834472656
1770963187.0415728,593.2677612304688,131.20924377441406,-161.1905517578125
1770963187.0995393,593.7825927734375,131.5448455810547,-162.5962371826172
1770963187.1565022,594.1655883789062,131.84510803222656,-163.0044403076172
1770963187.2161605,594.5250854492188,132.02984619140625,-162.34422302246094
1770963187.2741249,594.805908203125,132.2546844482422,-162.64988708496094
1770963187.338499,595.1326904296875,132.47927856445312,-162.95521545410156
1770963187.3970478,595.5026245117188,132.69163513183594,-162.99636840820312
1770963187.4570112,595.837158203125,132.91055297851562,-163.29397583007812
1770963187.514977,596.1426391601562,133.11209106445312,-163.56796264648438
1770963187.5709424,596.3107299804688,133.21572875976562,-163.70884704589844
1770963187.630955,596.3504028320312,133.23715209960938,-163.73797607421875
1770963187.6918683,596.5973510742188,133.38308715820312,-163.4259033203125
1770963187.752831,596.6334838867188,133.4105224609375,-163.46319580078125
1770963187.8117945,596.4199829101562,133.21778869628906,-163.71165466308594
1770963187.8687599,596.46240234375,133.2694549560547,-163.78189086914062
1770963187.9247255,596.5858764648438,133.3499755859375,-163.38088989257812
1770963187.980691,596.3876953125,133.24404907226562,-163.74734497070312
1770963188.0416565,596.2989501953125,133.1349334716797,-163.59901428222656
1770963188.1053054,596.031982421875,132.9393310546875,-163.33309936523438
1770963188.1686177,595.9678344726562,132.9304656982422,-163.321044921875
1770963188.2287893,595.8141479492188,132.8501739501953,-163.21189880371094
1770963188.2857535,595.7567749023438,132.8162841796875,-163.1658172607422
1770963188.3437183,595.4059448242188,132.53065490722656,-163.02505493164062
1770963188.4012492,595.053955078125,132.23828125,-162.62757873535156
1770963188.4592135,594.8247680664062,132.05567932128906,-162.3793487548828
1770963188.517178,594.664306640625,131.97215270996094,-162.2657928466797
1770963188.5751448,594.6083984375,131.89053344726562,-162.1548309326172
1770963188.6351058,594.2808227539062,131.73983764648438,-162.861328125
1770963188.6940694,594.10498046875,131.59561157226562,-162.66525268554688
1770963188.7510347,594.128173828125,131.61277770996094,-162.6885986328125
1770963188.8109987,594.1682739257812,131.63418579101562,-162.7176971435547
1770963188.8739595,594.3755493164062,131.77825927734375,-162.91355895996094
1770963188.9329228,594.4595947265625,131.830078125,-162.9840087890625
1770963188.992886,594.425048828125,131.82180786132812,-162.97276306152344
1770963189.047852,594.4481201171875,131.84385681152344,-163.0027313232422
1770963189.1048172,594.5528564453125,131.9378204345703,-162.2191162109375
1770963189.1627815,594.531494140625,131.87611389160156,-162.13523864746094
1770963189.2187471,594.6763305664062,131.97401428222656,-162.26832580566406
1770963189.2747126,594.6033325195312,131.9159698486328,-162.18942260742188
1770963189.3346758,594.4436645507812,131.77880859375,-162.914306640625
1770963189.3912256,594.3924560546875,131.8040008544922,-162.94854736328125
1770963189.4481914,594.1358032226562,131.65367126464844,-162.7441864013672
1770963189.5051565,594.1882934570312,131.7397918701172,-162.86126708984375
